"Identifier","AS Severity","Headline","CDETS Link","CloudApps Link","CloudApps Alternate Link","Fixed Releases"
"CSCvb32808","S2","statsprofiler crash with no space in sap STATSPROFILER SAP","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvb32808"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvb32808"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvb32808"")","8.1(0)BD(0.20), 8.3(0)SPG(0.26), 7.3(2)D1(1), 8.1(1), 7.3(3)D1(0.2), 8.3(0)CV(0.829)"
"CSCut29799","S2","Privilege escalation with o+w files and directories","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCut29799"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCut29799"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCut29799"")","7.3(0)PDB(0.11), 7.3(0)DX(0.4), 7.3(0)D1(1), 7.3(0)D1(0.69), 7.3(0)DX(1), 7.0(0)HSK(0.392)"
"CSCuu51026","S3","After reload ipv6 static route with LL nexthop shows one more next hop","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuu51026"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuu51026"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuu51026"")","7.3(0)N1(1), 7.2(1)ZD(0.28), 7.2(1)ZN(0.31), 7.2(1)N1(0.267), 7.2(1)D1(1), 7.2(1)N1(1), 7.2(1)D1(0.33)"
"CSCvc90796","S3","Sync with NTP servers lost intermittently","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvc90796"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvc90796"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvc90796"")","7.0(3)I6(0.43), 7.0(3)F2(0.90), 7.0(3)IBB6(0), 8.3(0)ISH(0.61), 7.0(3)I4(7), 7.0(3)I6(1), 7.0(3)IGD7(0), 7.3(2)D1(1), 8.1(1), 8.1(0.49)S0, 7.0(3)I4(6.8), 7.0(3)IBB6(0.3), 7.0(3)IGD7(0.123), 7.0(3)IGT7(0.19), 7.0(3)IGT7(0), 8.3(0)CV(0.944), 7.3(3)D1(0.2)"
"CSCva75358","S3","VRF export maps applied to denied prefixes","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCva75358"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCva75358"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCva75358"")","7.0(3)IEV5(1), 7.0(3)I5(1), 7.0(3)I5(0.163), 7.3(1)DX(0.118), 7.0(3)F2(0.90), 7.3(1)N1(0.203), 7.0(3)IEV5(1.58), 7.0(3)I4(4.37), 7.3(1)D1(1), 7.0(3)I4(5), 7.3(1)DX(0.117), 7.3(1)N1(1)"
"CSCur22505","S3","Admin distance change does not take effect with table-map command","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCur22505"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCur22505"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCur22505"")","7.2(0)ZD(0.47), 7.1(0)EV(0.137), 6.1(2)I3(4), 7.0(0)BZ(0.46), 7.1(0)AV(0.38), 6.0(2)A6(0.44), 7.1(0)PDB(0.317), 6.1(2)I3(3.80), 6.0(2)U6(0.44), 6.0(2)U6(1), 7.0(0)HSK(0.357), 7.2(0)ZN(0.54), 6.0(2)A6(1), 7.2(0)D1(0.358), 7.2(0)N1(1)"
"CSCvd04835","S3","Old connected route not removed from EIGRP topology table","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvd04835"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvd04835"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvd04835"")","8.1(1), 8.3(0)CV(0.944), 7.0(3)F2(0.90), 7.3(2)D1(1), 7.0(3)IFD6(0.126), 8.1(0.13)S0, 7.0(3)IFD6(0), 8.3(0)ISH(0.61), 7.3(2)D1(0.32)"
"CSCut19221","S3","OTV Unicast Flooding MAC Entry Lost","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCut19221"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCut19221"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCut19221"")","7.3(1)N1(1), 7.3(1)DX(0.63), 7.3(0)FFF(0.63), 7.3(1)D1(1), 7.3(1)DX(0.64)"
"CSCup34923","S3","N9k: OSPF Multi-area primary adjacency stuck in EXSTART after reboot","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCup34923"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCup34923"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCup34923"")","7.3(1)N1(0.340), 7.3(1)FTO(0.4), 6.1(2)I2(2c), 6.1(2)I2(3), 6.1(2)I2(2a), 7.3(1)D1(1), 6.0(2)U5(0.944), 6.2(14b)S2, 6.0(2)A5(0.944), 6.0(2)U5(1), 6.0(2)A5(1), 7.3(1)D1(0.54), 6.1(2)I2(2.79), 7.3(1)N1(1)"
"CSCux40815","S3","STP Puts VLAN 1 in Disabled State After Prune and Re-add","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCux40815"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCux40815"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCux40815"")","8.1(0)STP(0.2)"
"CSCut93469","Info Only","SUP2,F2E ,arp response failing with SI set as GPC LTL","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCut93469"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCut93469"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCut93469"")","7.2(0)CF(0.11), 7.2(0)D1(1), 6.2(10)E3"
"CSCux65494","Info Only","ACLLOG memory leak crash at ACLLOG_MEM_filter_info_t","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCux65494"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCux65494"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCux65494"")","7.3(1)N1(1), 7.0(3)I5(0.207), 7.3(1)D1(0.46), 7.0(3)I5(1), 7.3(1)FTO(0.4), 7.3(1)D1(1), 7.3(1)N1(0.330), 7.0(3)INK5(0.20), 7.0(3)INK5(0)"
"CSCut99084","Info Only","Expecting egress queue mismatched on F2E card of Crossbow(6.2.10)","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCut99084"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCut99084"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCut99084"")","7.2(1)ZD(0.38), 7.2(1)D1(1), 7.2(1)D1(0.44)"
"CSCus15529","Info Only","OTV trunk intf err-disabled due to ""IFTMC PD commit db search failed""","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCus15529"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCus15529"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCus15529"")","7.2(0)OTT(0.5), 7.1(0)PDB(0.301), 7.1(0)AV(0.38), 7.2(0)D1(0.387), 7.2(0)D1(1)"
"CSCui02208","Info Only","stp techsupport on X.1 causes stp disputes & BA_block","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCui02208"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCui02208"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCui02208"")","7.1(163)GVB(0.3)"
"CSCuv50831","Info Only","BGP is installing route with AD 255 in URIB","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuv50831"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuv50831"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuv50831"")","7.3(0)FMD(0.9), 7.3(0)SC(0.14), 7.3(0)RTG(0.66), 7.3(0)OTT(0.55), 7.3(0)EG(0.3), 7.3(0)TSH(0.99), 8.3(0)CV(0.196), 7.0(3)I2(1.24), 7.3(0)D1(0.91), 7.3(0)D1(1), 7.0(3)I2(2), 7.3(0)PDB(0.57)"
"CSCux47262","Info Only","STP stuck on LRN state after upgrade","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCux47262"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCux47262"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCux47262"")","7.3(0)DX(0.97), 7.3(0)DX(1), 7.0(0)BZ(0.115), 7.3(0)UCI(0.30), 7.3(0)DG(0.3), 7.3(0)FFF(0.63), 7.3(1)FTO(0.7)"
"CSCvd23559","Info Only","Packet drop on VOQ when power off or reload the module","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvd23559"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvd23559"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvd23559"")","8.1(0.64)S0, 8.1(0.33)S0, 8.2(0)SK(0.37), 8.3(0)CV(0.944), 8.1(0.102)S0"
"CSCua76364","Info Only","F2/F3: ""show policy int X out type queui"" drop counters increase on ASIC","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCua76364"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCua76364"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCua76364"")",""
"CSCuv34597","Info Only","SFP-H10GB-CU5M send laser even admin down","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuv34597"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuv34597"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuv34597"")","7.3(0)TSH(0.99), 7.3(0)SC(0.14), 7.3(0)RSP(0.7), 7.3(0)PDB(0.48), 7.3(0)OTT(0.55), 7.3(0)GLF(0.25), 7.3(0)FMD(0.9), 7.3(0)D1(1), 7.3(0)D1(0.107)"
"CSCva31220","Info Only","'sh hard queuing drops ingress' makes LC memory leak.","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCva31220"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCva31220"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCva31220"")","smu-7.2(2)D1(2), 7.3(1)D1(1), 7.3(1)DX(0.98)"
"CSCup35302","Info Only","Netstack core in icmp_input on receipt of an ICMP router solicitation","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCup35302"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCup35302"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCup35302"")","7.0(7)N1(1), 7.0(0)HSK(0.317), 7.1(0)OTT(0.34), 7.2(0)D1(1), 8.3(0)CV(0.297), 7.1(0)PDB(0.205), 7.0(0)BZ(0.46), 7.0(7)N1(0.300), 7.1(0)ZN(0.405), 7.1(0)ZD(0.305), 7.0(7)ZN(0.204), 7.1(0)D1(0.257)"
"CSCuu06239","Info Only","ACL permit and deny not working on SNMP walk","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuu06239"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuu06239"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuu06239"")","7.3(0)SL(0.73), 7.1(4)N1(0.820), 7.2(0)ZD(0.185), 7.1(4)N1(1), 7.2(0)N1(1), 7.2(0)VZN(0.34), 7.2(0)VZD(0.26), 7.1(3)ZD(0.137), 7.3(0)N1(1), 7.2(0)CF(0.11), 7.1(0)AV(0.81), 7.2(0)D1(0.506), 7.0(0)BZ(0.71), 7.1(3)ZN(0.286), 7.2(0)N1(0.202), 7.2(0)ZN(0.203), 7.0(0)HSK(0.433), 7.3(0)IB(0.19), 7.2(1)PIB(0.14), 7.2(0)D1(1), 7.3(0)RTG(0.17), 7.1(3)ZN(0.313), 7.1(0)ES(0.18), 7.2(0)BA(0.25)"
"CSCvc04030","Info Only","setting terminal password breaks sftp/scp transfer operation on N7K","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvc04030"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvc04030"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvc04030"")","8.1(0)BD(0.20), 8.3(0)CV(0.759), 8.1(1)"
"CSCux11029","Info Only","Route tag lost on internal routes when using eigrp wide metric on Nexus","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCux11029"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCux11029"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCux11029"")","7.3(0)RSP(0.7), 7.3(0)SC(0.14), 7.3(0)ZD(0.194), 7.3(0)D1(1), 7.3(0)ZN(0.210), 7.3(0)TSH(0.99), 7.3(0)IB(0.114), 7.3(0)GLF(0.44), 7.3(0)D1(0.178)"
"CSCvc57098","Info Only","Syslog MTS recv_q buffer filling up when ""logging source-interface"" configured","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvc57098"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvc57098"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvc57098"")","8.3(0)ISH(0.61), 7.0(3)F2(0.96), 8.1(0.40)S0, 7.0(3)IBB6(0.3), 7.0(3)I6(0.132), 8.1(1), 7.0(3)I6(1), 7.0(3)I6(0.144), 7.0(3)IBB6(0), 8.3(0)CV(0.944), 7.3(2)D1(1A), 7.0(3)I6(0.131)"
"CSCvd23076","Info Only","TACACS crashes when buffer limit (>2072) is crossed for valid command arguments","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvd23076"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvd23076"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvd23076"")","7.0(3)IBB6(0), 8.1(1), 7.0(3)I4(7), 8.3(0)ISH(0.61), 7.0(3)I4(6.18), 8.3(0)CV(0.944), 7.0(3)I6(0.35), 7.0(3)IGT7(0), 7.0(3)F2(0.90), 8.1(0.47)S0, 7.0(3)I6(1), 7.0(3)IGT7(0.19), 7.0(3)IBB6(0.3)"
"CSCvb18487","Info Only","System Switchover cause OID 1.3.6.1.4.1.9.9.427.1.1.3 to be set to 2","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvb18487"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvb18487"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvb18487"")","8.3(0)FSH(0.32), 6.2(17.5)S0, 6.2(19), 8.3(0)CV(0.661), 8.3(0)SPE(0.33)"
